concern_text,label
I want to request my student transcript I need assistance urgently.,Registrar Office
I need assistance with school problem reporting This is affecting my studies.,IMCO Office
I want to use the laboratory computers,Internet Laboratory
"Good day, i need to request my official records",Registrar Office
I need help with laboratory computer access I need assistance urgently.,Internet Laboratory
I need help with room maintenance I hope you can help.,Maintenance Office
"Good day, i need to request for student id card",Internet Laboratory
I want to check my course records This is urgent.,Registrar Office
"Hello, i need to pay for my enrollment",Cashier Office
I would like to report that i need assistance with student id making,Internet Laboratory
I would like to report that i want to report a concern to the school,IMCO Office
"Good day, i need to request my transcript of records",Registrar Office
I need help accessing computers in the lab This is urgent.,Internet Laboratory
I want to make payment for requirements Thank you.,Cashier Office
The network maintenance needs attention This is affecting my studies.,MIS Office
I have a problem that requires school attention I need assistance urgently.,IMCO Office
I need help with record keeping and management I need assistance urgently.,Registrar Office
I need to file a petition for academic records I hope you can help.,Registrar Office
I need to file a petition for subject addition I need assistance urgently.,Registrar Office
"Good day, the network system needs updating",MIS Office
The network connection keeps dropping This is affecting my studies.,MIS Office
"Hello, the wifi is not functioning properly",MIS Office
"Good day, i want to use the internet laboratory",Internet Laboratory
I want to request a copy of my transcript Thank you.,Registrar Office
I want to request a transcript of records I need assistance urgently.,Registrar Office
I need help with payment inquiry,Cashier Office
I want to request a transcript of records This is urgent.,Registrar Office
I would like to report that i need to file a petition for record update,Registrar Office
I would like to report that i need help with issc office support,ISSC Office
I want to request a copy of my transcript I need assistance urgently.,Registrar Office
I need help with grade record keeping Thank you.,Registrar Office
I need help with payment documentation I need assistance urgently.,Cashier Office
I want to report a school-related concern I need assistance urgently.,IMCO Office
I want to verify my student records I hope you can help.,Registrar Office
I need help with subject loading process,Registrar Office
I need help with computer lab access Please help me.,Internet Laboratory
I have an issue that needs to be addressed I need assistance urgently.,IMCO Office
I need help with laboratory access Please help me.,Internet Laboratory
The network connection keeps dropping Please help me.,MIS Office
I need help with school problem handling This is affecting my studies.,IMCO Office
The network connection is not available This is urgent.,MIS Office
I need to use a computer for my project This is urgent.,Internet Laboratory
"Hello, i want to report maintenance required",Maintenance Office
"Hello, i need help with subject enrollment",Registrar Office
I need help with subject enrollment This is urgent.,Registrar Office
The network connection is not available I need assistance urgently.,MIS Office
I would like to report that the room requires repair work,Maintenance Office
The WiFi is not functioning properly Please help me.,MIS Office
I would like to report that i need help with school concern resolution,IMCO Office
I want to report maintenance required,Maintenance Office
I need to request my transcript of records,Registrar Office
I need assistance with student ID card application I hope you can help.,Internet Laboratory
"Hello, i want to report a concern to the school",IMCO Office
"Good day, the room needs to be maintained",Maintenance Office
I would like to report that i need help with laboratory computer reservation,Internet Laboratory
I need assistance with internet connection,MIS Office
I would like to report that i need assistance with id card creation,Internet Laboratory
I would like to report that i need to pay for my registration,Cashier Office
I need help with school problem addressing I hope you can help.,IMCO Office
I would like to report that i want to report a room that needs repair,Maintenance Office
"Good day, the classroom requires maintenance",Maintenance Office
I need help with payment inquiry Please help me.,Cashier Office
I want to check my grades This is affecting my studies.,Registrar Office
I need assistance with school issue handling,IMCO Office
I need assistance with student ID card application This is urgent.,Internet Laboratory
"Good day, i need to request for student id processing",Internet Laboratory
I need assistance with school dissemination This is urgent.,IMCO Office
"Hello, i have an issue that needs school attention",IMCO Office
"Hello, i want to report a repair needed",Maintenance Office
I need help with school problem management Thank you.,IMCO Office
I need assistance with ID card creation This is affecting my studies.,Internet Laboratory
I need help with school concern reporting This is urgent.,IMCO Office
I need help with subject enrollment I hope you can help.,Registrar Office
I would like to report that i need help with school concern handling,IMCO Office
I need to file a petition for academic records Thank you.,Registrar Office
I need help with subject loading process This is urgent.,Registrar Office
I need help with payment methods I hope you can help.,Cashier Office
I need to pay my tuition This is urgent.,Cashier Office
"Hello, the wifi network needs fixing",MIS Office
I need help making my student ID This is affecting my studies.,Internet Laboratory
"Good day, i need help with payment inquiry",Cashier Office
I need assistance with student needs Thank you.,ISSC Office
I need assistance with ID card creation This is urgent.,Internet Laboratory
I have a problem that requires school attention Please help me.,IMCO Office
I would like to report that i need assistance with student id making,Internet Laboratory
"Good day, i need help with payment receipt",Cashier Office
I need to use a computer for my project I need assistance urgently.,Internet Laboratory
I want to request repair service This is affecting my studies.,Maintenance Office
"Hello, i need help with network authentication",MIS Office
I would like to report that i need help with grade verification,Registrar Office
"Hello, i cannot connect to the internet",MIS Office
I want to request computer access in the lab Thank you.,Internet Laboratory
I need help with internet lab computer access Please help me.,Internet Laboratory
I need help with school problem addressing I hope you can help.,IMCO Office
"Good day, i need assistance with problem resolution",IMCO Office
I need assistance with ID card creation,Internet Laboratory
I want to use the internet lab computers This is urgent.,Internet Laboratory
I need help with room repair I need assistance urgently.,Maintenance Office
I would like to report that i need help with student id application,Internet Laboratory
I would like to report that i need help with grade record management,Registrar Office
The WiFi connection is not stable This is urgent.,MIS Office
